UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WAOWF,Okan-Wen NF,Meeks Table,2015-09-12,1021.0,Undetermined,Tieton,Yakima County
WASES,Washington DNR,Horsethief Butte,2015-09-14,6383.0,Undetermined,Dallesport,Klickitat County
WAMCR,Mid Columbia NWR,Stateline,2015-09-13,8008.0,Undetermined,Finley,Benton County
WAGPF,Gifford Pinchot NF,Alder Lake,2015-07-26,359.0,Lightning,Eatonville,Pierce County
WASPD,Spokane BLM,Pegg Canyon,2015-07-10,14769.0,Lightning,Quincy,Grant County
WASPD,Spokane BLM,Jameson Lake,2015-07-10,6364.0,Lightning,Soap Lake,Grant County
WASPD,Spokane BLM,South Sulphur Springs,2015-06-12,764.0,Undetermined,Soap Lake,Grant County
WASPD,Spokane BLM,Seven Springs,2015-08-10,542.0,Undetermined,Davenport,Lincoln County
WANES,Washington DNR,I-90 Sprague,2015-08-01,1692.0,Undetermined,Medical Lake,Spokane County
WAMCR,Mid Columbia NWR,Saddle Mountain,2015-06-29,447.0,Undetermined,Royal City,Grant County
WAWFS,Washington Fire Ser,Monument,2015-06-30,1954.0,Undetermined,Quincy,Grant County
WABENN,,Les Blair,2015-06-27,866.0,Undetermined,Highland,Benton County
WASPD,Spokane BLM,Berrian,2015-06-27,877.0,Undetermined,Hermiston,Umatilla County
WASPD,Spokane BLM,Outlaw Draw,2015-07-15,1981.0,Undetermined,Bridgeport,Douglas County
WACOF,Colville Forest,Tower,2015-08-12,24734.0,Lightning,Newport,Pend Oreille County
WACOF,Colville Forest,Grease Creek,2015-08-14,730.0,Lightning,Newport,Pend Oreille County
WACOF,Colville Forest,South Fork Slate Trail - D5,2015-08-18,171.0,Undetermined,Salmo,
WACOF,Colville Forest,Stickpin,2015-08-11,53829.0,Lightning,Republic,Ferry County
WACOF,Colville Forest,Renner,2015-08-17,13794.0,Undetermined,Kettle Falls,Stevens County
WACOF,Colville Forest,Graves Mountain,2015-08-14,8570.0,Lightning,Kettle Falls,Stevens County
ORUMF,Umatilla NF,Bear Ridge,2015-08-13,1943.0,Lightning,Pomeroy,Garfield County
ORUMF,Umatilla NF,Butte Creek,2015-08-13,78759.0,Lightning,Dayton,Columbia County
ORUMF,Umatilla NF,Green Ridge,2015-08-13,3.0,Lightning,Dayton,Columbia County
ORUMF,Umatilla NF,West Butte,2015-08-13,4.0,Lightning,Dayton,Columbia County
WAOWF,Okan-Wen NF,Lime Belt,2015-08-14,133821.0,Lightning,Okanogan,Okanogan County
WACOA,Colville Agency,North Star,2015-08-13,218252.0,Human,Republic,Ferry County
WANES,Washington DNR,Tunk Block,2015-08-14,165924.0,Lightning,Omak,Okanogan County
WAOWF,Okan-Wen NF,Newby Lake,2015-07-02,5158.0,Lightning,Tonasket,Okanogan County
WAOWF,Okan-Wen NF,Kelly Mountain,2014-07-16,124.0,Lightning,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Duncan,2014-07-16,12695.0,Lightning,Granite Falls,Chelan County
WASES,Washington DNR,Snag Canyon,2014-08-02,12599.0,Lightning,Ellensburg,Kittitas County
WASES,Washington DNR,Hansel Creek,2014-08-02,1073.0,Lightning,Leavenworth,Chelan County
WASPS,Washington DNR,Haven Lake,2014-08-11,183.0,Human,Shelton,Mason County
WASES,Washington DNR,Wood Gulch,2007-07-13,7666.0,Lightning,Mabton,Yakima County
WACOF,Colville Forest,Curve Ball,2007-07-13,109.0,Lightning,Kettle Falls,Stevens County
WACOF,Colville Forest,Windy Ridge,2007-07-13,217.0,Lightning,Fruitvale,
WANES,Washington DNR,Tripod (Tripod Complex),2006-07-24,113011.0,,Okanogan,Okanogan County
WASES,Washington DNR,Elk Heights,2004-07-30,296.0,Arson,Cle Elum,Kittitas County
WAOWF,Okan-Wen NF,Isabel,2003-09-07,4262.0,,Okanogan,Okanogan County
WAOWF,Okan-Wen NF,Goose Lake,2001-08-13,1282.0,,Okanogan,Okanogan County
WAOWF,Okan-Wen NF,Thirtymile,2001-07-23,9324.0,,Tonasket,Okanogan County
WACOA,Colville Agency,Sandhills,2013-08-10,115.85781207,Lightning,Coulee Dam,Okanogan County
WAWFS,Washington Fire Ser,Colockum Tarps,2013-07-27,81733.2699806,Miscellaneous,South Wenatchee,Chelan County
WAYAA,BIA - Yakima,Jojo,2013-08-11,4242.96578202,,Granger,Yakima County
WASES,Washington DNR,Milepost 10,2013-08-09,5443.33991656,Lightning,South Wenatchee,Chelan County
WASPD,Spokane BLM,Desmarais,2013-06-07,10132.9241537,Missing/Undefined,Zillah,Yakima County
WASPD,Spokane BLM,Dennis Command,2013-07-04,332.86808962,Miscellaneou,Benton City,Benton County
WAOWF,Okan-Wen NF,Eagle,2013-08-19,1465.80702223,Miscellaneous,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Manastash Ridge,2013-08-20,2351.83258538,Lightning,Cle Elum,Kittitas County
