UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE,AREA,COUNTY
WAOWF,Okan-Wen NF,Pyramid,2012-09-09,1906.12773671,Lightning,Granite Falls,Chelan County
WAOWF,Okan-Wen NF,Klone Peak,2012-09-09,1506.49193026,Lightning,Granite Falls,Chelan County
WAOWF,Okan-Wen NF,Basalt Peak,2012-09-12,1261.05014547,,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Cuitin Lake,2012-09-11,309.12281339,Lightning,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Sears Creek,2012-09-09,656.20733244,,Leavenworth,Chelan County
WAOWF,Okan-Wen NF,Peavine Canyon,2012-09-08,19997.9812742,Lightning,West Wenatchee,Chelan County
WASPS,Washington DNR,Powerline #2,2012-10-04,229.47797079,Arson,Shelton,Mason County
WAOWF,Okan-Wen NF,Table Mountain Fire,2012-09-15,42481.2385799,Lightning,Ellensburg,Kittitas County
WACOA,Colville Agency,St Mary's Mission Road,2012-10-02,16853.1830008,,Omak,Okanogan County
WAGPF,Gifford Pinchot NF,Cascade Creek,2012-09-09,20096.3207424,Lightning,White Salmon,Klickitat County
WACOF,Colville Forest,Radio,2012-09-11,42.59117225,Lightning,Kettle Falls,Stevens County
WAGPF,Gifford Pinchot NF,South Point,2012-09-19,336.8149697,,Morton,Lewis County
WASES,Washington DNR,Foster Creek,2012-07-12,1294.12726259,Lightning,Bridgeport,Douglas County
WASES,Washington DNR,Quilomene,2012-07-12,156.93497125,Lightning,Quincy,Grant County
WASES,Washington DNR,Litttle Parke Creek,2012-09-05,692.94109133,Recreation,Kittitas,Kittitas County
WACOA,Colville Agency,Meteor,2012-04-11,210.58513579,,Omak,Okanogan County
WACOA,Colville Agency,South Omak Lake,2012-07-13,1002.99404437,,Kettle Falls,Stevens County
WAYAA,BIA - Yakima,North Ahtanum,2012-08-31,1661.10993047,,Ahtanum,Yakima County
WASPD,Spokane BLM,Cache Butte,,470.30296328,,Coulee Dam,Okanogan County
WASPD,Spokane BLM,Crane Road,2012-08-01,11131.8751941,,Brewster,Okanogan County
WASPD,Spokane BLM,Washout,2012-06-30,595.70040742,,Sunnyside,Yakima County
