UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WACCC,COLUMBIA CASCADE,DALLESPORT,2010-07-12,1179.06539837,POWER LINE
WASES,WA DNR - SE REGION,SWAKANE,2010-07-10,19437.00371798,UNKNOWN
WAYKCN,YAKIMA COUNTY FD,COWICHE MILL,2010-07-18,6190.6972946000005,UNKNOWN
WASPA,SPOKANE AGENCY,LINE,2010-07-12,909.85577433,UNKNOWN
WANCP,NORTH CASCADES NP,DEVILS GULCH,2010-07-29,36.63409036,LIGHTNING
WANCP,NORTH CASCADES NP,NAHAHUM,2010-07-29,1947.45079312,LIGHTNING
WANCP,NORTH CASCADES NP,TRIPP CANYON,2010-07-29,71.54657712,LIGHTNING
WANCP,NORTH CASCADES NP,RAINBOW BRIDGE,2010-07-29,4117.8871198,UNKNOWN
WAOWF,OKAN-WEN NF,VIRGINIA LAKE,2001-08-01,36683.98601782,UNKNOWN
WAOWF,OKAN-WEN NF,ROCKY HULL,2000-07-22,9481.85678068,LIGHTNING
WAOWF,OKAN-WEN NF,WHISKY MOUNTAIN,2007-08-18,961.00487006,LIGHTNING
WA,UNKNOWN,FERN ROAD,2002-09-16,15.65862786,UNKNOWN
ORCGF,COLUMBIA RG NSA,COURTNEY ROAD,2001-07-12,89.65697123,UNKNOWN
ORPRD,PRINEVILLE DIST,DOG CREEK,2001-07-12,568.58337726,UNKNOWN
ORCGF,COLUMBIA RG NSA,UNKNOWN,2001-08-01,93.34318517,UNKNOWN
WAOWF,OKAN-WEN NF,AMABILIS,2006-10-12,116.99950814,UNKNOWN
WAOWF,OKAN-WEN NF,RATTLESNAKE CREEK,2007-08-05,1653.59408222,UNKNOWN
WAOWF,OKAN-WEN NF,TROUT,2006-06-27,139.95743282,EQUIPMENT USE
WAGPF,GIFFORD PINCHOT NF,LOST LAKE,2003-05-08,265.02327787,UNKNOWN
