UNITID,AGENCY,FIRENAME,STARTDATE,ACRES,CAUSE
WAOWF,OKAN-WEN NF,MCLEOD,2018-08-11,22875.480977900002,LIGHTNING
WANCP,NORTH CASCADES NP,ARCTIC JIM,2018-08-06,347.18864558,LIGHTNING
WAOWF,OKAN-WEN NF,CRESCENT MOUNTAIN,2018-07-29,51972.41205121,LIGHTNING
WAWFS,WA FIRE SERVICE,WAGON WHEEL,2018-09-01,4046.18642129,HUMAN
WASPD,SPOKANE BLM,WEBER CANYON,2018-07-13,543.8405084,HUMAN
WASES,WA DNR - SE REGION,STORMY CREEK,2018-07-01,64.86872812,UNKNOWN
WACOA,COLVILLE AGENCY,LITTLE SNAKE RIVER,2018-09-26,246.91932926,UNKNOWN
WAMSF,MT. BAKER-SNOQ NF,LITTLE FORK,2018-08-17,426.88910327,LIGHTNING
WAYAA,BIA - YAKIMA,HAWK FIRE,2018-08-10,624.28747841,HUMAN
WAOWF,OKAN-WEN NF,TYEE,1994-07-24,82558.09779602,LIGHTNING
WASPD,SPOKANE BLM,SHOOTING RANGE,2018-06-24,206.35395353,UNKNOWN
WASES,WA DNR - SE REGION,CONRAD,2018-07-01,4582.42957476,UNKNOWN
WASPD,SPOKANE BLM,243 COMMAND,2019-06-03,20426.77133731,UNKNOWN
WASES,WA DNR - SE REGION,PIPELINE,2019-07-23,6514.95420571,UNKNOWN
WAYAA,BIA - YAKIMA,KUSSHI CREEK,2019-07-23,1074.99052634,LIGHTNING
WAOWF,OKAN-WEN NF,LEFT HAND,2019-07-23,3462.67446203,LIGHTNING
WACOA,COLVILLE AGENCY,WILLIAMS FLATS,2019-08-02,44378.77008542,UNKNOWN
WAOWF,OKAN-WEN NF,DEVORE CREEK,2019-07-26,630.67678106,LIGHTNING
WAOWF,OKAN-WEN NF,SOUTH FORK CREEK,2019-07-23,175.72008673,LIGHTNING
WAOLP,OLYMPIC NF,MT DANA,2019-08-31,42.74724675,LIGHTNING
WACOA,COLVILLE AGENCY,ELMER CITY,2019-06-23,2019.3475577,HUMAN
WASPD,SPOKANE BLM,POWERLINE,2019-07-14,7723.37951928,UNKNOWN
WAMCR,MID COLUMBIA NWR,COLD CREEK,2019-07-18,41711.70535344,UNKNOWN
WAWFS,WA FIRE SERVICE,JUNIPER WIND TOWER,2019-07-20,242.06357292,UNKNOWN
WANES,WA DNR - NE REGION,GRAHAM,2019-07-24,99.16486603,LIGHTNING
WASES,WA DNR - SE REGION,DESERT CANYON,2019-07-24,1461.05282619,UNKNOWN
WACOF,COLVILLE NF,NORTH MILL CREEK,2019-08-08,422.70882728,UNKNOWN
WASES,WA DNR - SE REGION,DRY SAGE,2019-06-08,383.75363068,UNKNOWN
WAWFS,WA FIRE SERVICE,SULPHUR,2019-08-02,1145.75785692,UNKNOWN
WASPD,SPOKANE BLM,SADDLE MOUNTAIN,2019-07-24,123.87746031,UNKNOWN
WASPD,SPOKANE BLM,MILEPOST 20,2019-10-29,1122.1970125999999,UNKNOWN
